instances,best_algorithms,spt_flow,lpt_flow,mst_flow,best_flow
inst_set1a_sf0.5_nc2.1_n20_m10_00.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m10_01.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m10_02.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m10_03.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m10_04.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m10_05.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m13_00.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m13_01.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m13_02.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m13_03.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m13_04.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m13_05.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m15_00.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m15_01.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m15_02.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m15_03.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m15_04.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc2.1_n20_m15_05.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.5_n20_m10_00.dzn,MST,1,0,1,1
inst_set1a_sf0.75_nc1.5_n20_m10_01.dzn,MST,0,0,1,1
inst_set1a_sf0.75_nc1.5_n20_m10_02.dzn,LPT,0,6,0,6
inst_set1a_sf0.75_nc1.5_n20_m10_03.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.5_n20_m10_04.dzn,MST,3,0,3,3
inst_set1a_sf0.75_nc1.5_n20_m10_05.dzn,MST,0,0,2,2
inst_set1a_sf0.75_nc1.5_n20_m20_00.dzn,LPT,0,8,0,8
inst_set1a_sf0.75_nc1.5_n20_m20_01.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.5_n20_m20_02.dzn,SPT,1,0,0,1
inst_set1a_sf0.75_nc1.5_n20_m20_03.dzn,MST,2,0,2,2
inst_set1a_sf0.75_nc1.5_n20_m20_04.dzn,SPT,2,0,0,2
inst_set1a_sf0.75_nc1.5_n20_m20_05.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.5_n20_m25_00.dzn,MST,0,0,4,4
inst_set1a_sf0.75_nc1.5_n20_m25_01.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.5_n20_m25_02.dzn,SPT,2,0,0,2
inst_set1a_sf0.75_nc1.5_n20_m25_03.dzn,LPT,0,5,0,5
inst_set1a_sf0.75_nc1.5_n20_m25_04.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.5_n20_m25_05.dzn,MST,0,0,1,1
inst_set1a_sf0.75_nc1.8_n20_m10_00.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.8_n20_m10_01.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.8_n20_m10_02.dzn,LPT,0,2,0,2
inst_set1a_sf0.75_nc1.8_n20_m10_03.dzn,LPT,0,5,0,5
inst_set1a_sf0.75_nc1.8_n20_m10_04.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.8_n20_m10_05.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.8_n20_m20_00.dzn,MST,0,6,8,8
inst_set1a_sf0.75_nc1.8_n20_m20_01.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.8_n20_m20_02.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn,MST,0,0,2,2
inst_set1a_sf0.75_nc1.8_n20_m20_04.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.8_n20_m20_05.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.8_n20_m25_00.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.8_n20_m25_01.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.8_n20_m25_02.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.8_n20_m25_03.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc1.8_n20_m25_04.dzn,MST,0,0,1,1
inst_set1a_sf0.75_nc1.8_n20_m25_05.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m10_00.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m10_01.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m10_02.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m10_03.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m10_04.dzn,SPT,1,0,0,1
inst_set1a_sf0.75_nc2.1_n20_m10_05.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m20_00.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m20_01.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m20_02.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m20_03.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m20_04.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m20_05.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m25_00.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m25_01.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m25_02.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m25_03.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m25_04.dzn,MST,0,0,0,0
inst_set1a_sf0.75_nc2.1_n20_m25_05.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m10_00.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m10_01.dzn,MST,0,0,12,12
inst_set1a_sf0_nc1.5_n20_m10_02.dzn,LPT,0,2,0,2
inst_set1a_sf0_nc1.5_n20_m10_03.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m10_04.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m10_05.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m20_00.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m20_01.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m20_02.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m20_03.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m20_04.dzn,LPT,0,3,0,3
inst_set1a_sf0_nc1.5_n20_m20_05.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m25_00.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m25_01.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m25_02.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.5_n20_m25_03.dzn,MST,0,0,3,3
inst_set1a_sf0_nc1.5_n20_m25_04.dzn,LPT,0,1,0,1
inst_set1a_sf0_nc1.5_n20_m25_05.dzn,MST,0,0,9,9
inst_set1a_sf0_nc1.8_n20_m10_00.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m10_01.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m10_02.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m10_03.dzn,SPT,4,0,0,4
inst_set1a_sf0_nc1.8_n20_m10_04.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m10_05.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m20_00.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m20_01.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m20_02.dzn,MST,0,0,3,3
inst_set1a_sf0_nc1.8_n20_m20_03.dzn,MST,0,0,2,2
inst_set1a_sf0_nc1.8_n20_m20_04.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m20_05.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m25_00.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m25_01.dzn,LPT,0,2,0,2
inst_set1a_sf0_nc1.8_n20_m25_02.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m25_03.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m25_04.dzn,MST,0,0,0,0
inst_set1a_sf0_nc1.8_n20_m25_05.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m10_00.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m10_01.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m10_02.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m10_03.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m10_04.dzn,SPT,1,0,0,1
inst_set1a_sf0_nc2.1_n20_m10_05.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m20_00.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m20_01.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m20_02.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m20_03.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m20_04.dzn,LPT,0,1,0,1
inst_set1a_sf0_nc2.1_n20_m20_05.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m25_00.dzn,MST,0,0,7,7
inst_set1a_sf0_nc2.1_n20_m25_01.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m25_02.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m25_03.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m25_04.dzn,MST,0,0,0,0
inst_set1a_sf0_nc2.1_n20_m25_05.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.5_n20_m20_00.dzn,MST,0,0,7,7
inst_set1a_sf1_nc1.5_n20_m20_01.dzn,MST,0,0,1,1
inst_set1a_sf1_nc1.5_n20_m20_02.dzn,MST,0,0,7,7
inst_set1a_sf1_nc1.5_n20_m20_03.dzn,MST,0,0,2,2
inst_set1a_sf1_nc1.5_n20_m20_04.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.5_n20_m20_05.dzn,MST,2,0,2,2
inst_set1a_sf1_nc1.5_n20_m25_00.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.5_n20_m25_01.dzn,MST,0,0,6,6
inst_set1a_sf1_nc1.5_n20_m25_02.dzn,MST,0,0,7,7
inst_set1a_sf1_nc1.5_n20_m25_03.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.5_n20_m25_04.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.5_n20_m25_05.dzn,LPT,0,7,0,7
inst_set1a_sf1_nc1.5_n20_m30_00.dzn,MST,0,0,1,1
inst_set1a_sf1_nc1.5_n20_m30_01.dzn,MST,0,0,6,6
inst_set1a_sf1_nc1.5_n20_m30_02.dzn,MST,0,0,2,2
inst_set1a_sf1_nc1.5_n20_m30_03.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.5_n20_m30_04.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.5_n20_m30_05.dzn,SPT,1,0,0,1
inst_set1a_sf1_nc1.8_n20_m20_00.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m20_01.dzn,MST,2,0,2,2
inst_set1a_sf1_nc1.8_n20_m20_02.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m20_03.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m20_04.dzn,MST,0,0,4,4
inst_set1a_sf1_nc1.8_n20_m20_05.dzn,LPT,0,3,0,3
inst_set1a_sf1_nc1.8_n20_m25_00.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m25_01.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m25_02.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m25_03.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m25_04.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m25_05.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m30_00.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m30_01.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m30_02.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m30_03.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m30_04.dzn,MST,0,0,0,0
inst_set1a_sf1_nc1.8_n20_m30_05.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m20_00.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m20_01.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m20_02.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m20_03.dzn,MST,0,0,1,1
inst_set1a_sf1_nc2.1_n20_m20_04.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m20_05.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m25_00.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m25_01.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m25_02.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m25_03.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m25_04.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m25_05.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m30_00.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m30_01.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m30_02.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m30_03.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m30_04.dzn,MST,0,0,0,0
inst_set1a_sf1_nc2.1_n20_m30_05.dzn,MST,0,0,0,0
